Source,Target
Then She Found Me,Matthew Broderick
Richard Crenna,Leviathan
The Devil's Advocate,Keanu Reeves
Code 46,Tim Robbins
Code 46,Samantha Morton
Code 46,Om Puri
Code 46,Togo Igawa
Alex & Emma,Luke Wilson
Alex & Emma,Kate Hudson
Emily Blunt,Sicario
Emily Blunt,The Huntsman: Winter's War
Emily Blunt,Into the Woods
Emily Blunt,Gnomeo & Juliet
Emily Blunt,Sherlock Gnomes
Christopher Adamson,Les Misérables
I Can Only Imagine,Madeline Carroll
I Can Only Imagine,Dennis Quaid
Cedric Hardwicke,The Hunchback of Notre Dame
Matthew Morrison,What to Expect When You're Expecting
Suzy Amis,Blown Away
Nathan Lane,The Birdcage
Nathan Lane,Mirror Mirror
Casa de mi Padre,Will Ferrell
Casa de mi Padre,Gael García Bernal
Casa de mi Padre,Diego Luna
Casa de mi Padre,Nick Offerman
Woody Harrelson,"Three Billboards Outside Ebbing, Missouri"
Woody Harrelson,The People vs. Larry Flynt
Woody Harrelson,Seven Psychopaths
Woody Harrelson,Wag the Dog
Woody Harrelson,A Prairie Home Companion
Woody Harrelson,The Hunger Games: Mockingjay - Part 1
Woody Harrelson,The Hunger Games: Mockingjay - Part 2
Woody Harrelson,Bunraku
Woody Harrelson,Indecent Proposal
Woody Harrelson,Management
By the Sea,Angelina Jolie
By the Sea,Melvil Poupaud
Jeremy Irons,The Mission
Jeremy Irons,The French Lieutenant's Woman
Jeremy Irons,Lolita
Jeremy Irons,Stealing Beauty
Jeremy Irons,Assassin's Creed
Words on Bathroom Walls,Charlie Plummer
Words on Bathroom Walls,Andy Garcia
Words on Bathroom Walls,AnnaSophia Robb
Nat Wolff,Ashby
James Hamrick,Devil's Knot
Adaptation.,Nicolas Cage
Adaptation.,Meryl Streep
Adaptation.,Chris Cooper
Adaptation.,Tilda Swinton
Tilda Swinton,The Curious Case of Benjamin Button
Michael Shannon,Take Shelter
Michael Shannon,Man of Steel
Darren Barnet,Love Hard
Juliette Lewis,Kalifornia
Juliette Lewis,Cold Creek Manor
Steve Zahn,Employee of the Month
Steve Zahn,Management
Kang Hye-jeong,Oldboy
Isla Fisher,Rise of the Guardians
Isla Fisher,Life of Crime
Mystic River,Sean Penn
Mystic River,Tim Robbins
Mystic River,Kevin Bacon
Mystic River,Emmy Rossum
Francis Capra,A Bronx Tale
Susan Sarandon,Dead Man Walking
Susan Sarandon,Bull Durham
Susan Sarandon,Robot & Frank
Susan Sarandon,Stepmom
Susan Sarandon,The Client
Susan Sarandon,The Witches of Eastwick
Susan Sarandon,Peacock
The Irishman,Robert De Niro
The Irishman,Joe Pesci
The Irishman,Harvey Keitel
Isabella Rossellini,Immortal Beloved
Isabella Rossellini,Fearless
Craig Ferguson,Winnie the Pooh
John Colicos,The Postman Always Rings Twice
Louis C.K.,Trumbo
Huma Qureshi,"Monica, O My Darling"
Man Down,Shia LaBeouf
Man Down,Jai Courtney
Man Down,Gary Oldman
Josh Duhamel,You're Not You
Demián Bichir,Land
Beauty Shop,Alicia Silverstone
Beauty Shop,Djimon Hounsou
Beauty Shop,Andie MacDowell
The Last King of Scotland,James McAvoy
The Last King of Scotland,Forest Whitaker
The Last King of Scotland,Gillian Anderson
The Last King of Scotland,Kerry Washington
Bill Farmer,A Goofy Movie
David Andrews,Wyatt Earp
Emily Morgan,The French Lieutenant's Woman
Silkwood,Meryl Streep
Silkwood,Cher
Silkwood,Craig T. Nelson
Lindsay Sloane,The In-Laws
The Cooler,William H. Macy
The Cooler,Maria Bello
The Cooler,Alec Baldwin
Jack Reacher: Never Go Back,Tom Cruise
Jack Reacher: Never Go Back,Aldis Hodge
Jack Reacher: Never Go Back,Robert Knepper
Once Upon a Time in Venice,Bruce Willis
Once Upon a Time in Venice,John Goodman
Once Upon a Time in Venice,Jason Momoa
Once Upon a Time in Venice,Emily Robinson
Mae Clarke,Frankenstein
Ned Dowd,Bottle Rocket
Adrien Brody,King Kong
Adrien Brody,Hollywoodland
My Super Ex-Girlfriend,Uma Thurman
My Super Ex-Girlfriend,Luke Wilson
My Super Ex-Girlfriend,Anna Faris
My Super Ex-Girlfriend,Rainn Wilson
Flight,Denzel Washington
Flight,Nadine Velazquez
Flight,Don Cheadle
Flight,John Goodman
Robot & Frank,Peter Sarsgaard
Robot & Frank,Frank Langella
José María Yazpik,The Burning Plain
Ian McKellen,X-Men: Days of Future Past
Ian McKellen,The Da Vinci Code
Jack Lemmon,Glengarry Glen Ross
Playing for Keeps,Jessica Biel
Playing for Keeps,Dennis Quaid
Playing for Keeps,Noah Lomax
Eartha Kitt,The Emperor's New Groove
Employee of the Month,Matt Dillon
Employee of the Month,Christina Applegate
Employee of the Month,Andrea Bendewald
Employee of the Month,Jessica Simpson
Employee of the Month,Dane Cook
Employee of the Month,Dax Shepard
Employee of the Month,Andy Dick
Monsters vs. Aliens,Reese Witherspoon
Monsters vs. Aliens,Rainn Wilson
Monsters vs. Aliens,Stephen Colbert
Monsters vs. Aliens,Seth Rogen
Burn After Reading,George Clooney
Burn After Reading,John Malkovich
Take Shelter,Jessica Chastain
Take Shelter,Shea Whigham
Take Shelter,Tova Stewart
Su Elliot,Jane Eyre
Hilary Duff,Agent Cody Banks
Chloe Webb,Twins
Penelope Mitchell,Curve
Jimmy O. Yang,Love Hard
Debra Winger,Terms of Endearment
Internal Affairs,Andy Garcia
Internal Affairs,Nancy Travis
Christian Slater,True Romance
Christian Slater,The Name of the Rose
Christian Slater,Murder in the First
Christian Slater,Heathers
Christian Slater,Robin Hood: Prince of Thieves
Christian Slater,The Contender
Christian Slater,He Was a Quiet Man
Christian Slater,The Legend of Billie Jean
Christian Slater,FernGully: The Last Rainforest
Christian Slater,Young Guns II
Christian Slater,Very Bad Things
Christian Slater,Tales from the Darkside: The Movie
Christian Slater,Broken Arrow
Christian Slater,Hard Rain
Christian Slater,3000 Miles to Graceland
Christian Slater,Kuffs
Christian Slater,Bullet to the Head
Christian Slater,Freaky Deaky
The Door in the Floor,Jeff Bridges
The Door in the Floor,Kim Basinger
The Door in the Floor,Jon Foster
Taylor John Smith,Where the Crawdads Sing
The Missouri Breaks,Marlon Brando
The Missouri Breaks,Jack Nicholson
The Missouri Breaks,Randy Quaid
The Missouri Breaks,Kathleen Lloyd
Air Force One,Gary Oldman
Air Force One,Glenn Close
Air Force One,Wendy Crewson
Monsters University,Billy Crystal
Monsters University,John Goodman
Henry Gibson,Charlotte's Web
Jesse James,The Amityville Horror
Antitrust,Ryan Phillippe
Antitrust,Tim Robbins
Antitrust,Rachael Leigh Cook
Eleonora Giorgi,Inferno
Bryan Cranston,Argo
Bryan Cranston,Trumbo
Bryan Cranston,Jerry and Marge Go Large
Sherlock Gnomes,Johnny Depp
Sherlock Gnomes,James McAvoy
Sherlock Gnomes,Kelly Asbury
Rufus Sewell,Dark City
Rufus Sewell,Dangerous Beauty
Haley Joel Osment,Secondhand Lions
Haley Joel Osment,Pay It Forward
Haley Joel Osment,The Jungle Book 2
RED,Bruce Willis
RED,Morgan Freeman
RED,Mary-Louise Parker
Hailee Steinfeld,True Grit
Hailee Steinfeld,The Edge of Seventeen
Peter MacNicol,Sophie's Choice
In the Army Now,Andy Dick
In the Army Now,David Alan Grier
W.,Josh Brolin
W.,Elizabeth Banks
W.,Ioan Gruffudd
Debbie Harry,Tales from the Darkside: The Movie
Steve Guttenberg,Diner
Steve Guttenberg,Police Academy
Steve Guttenberg,Three Men and a Baby
Steve Guttenberg,Police Academy 2: Their First Assignment
Steve Guttenberg,High Spirits
Steve Guttenberg,Three Men and a Little Lady
Steve Guttenberg,The Big Green
Steve Guttenberg,Police Academy 4: Citizens on Patrol
Daria Nicolodi,Inferno
Arsenio Castellanos,The Laundromat
The Bag Man,John Cusack
The Bag Man,Robert De Niro
Margaret Langrick,Harry and the Hendersons
Rumor Has It...,Jennifer Aniston
Rumor Has It...,Mark Ruffalo
Rumor Has It...,Kevin Costner
Logan Marshall-Green,Prometheus
Jason Momoa,Bullet to the Head
Badhaai Do,Bhumi Pednekar
Badhaai Do,Chum Darang
Badhaai Do,Sheeba Chaddha
Splinter,Shea Whigham
Splinter,Jill Wagner
Splinter,Paulo Costanzo
Splinter,Charles Baker
To Rome with Love,Woody Allen
To Rome with Love,Penélope Cruz
To Rome with Love,Elliot Page
JoBeth Williams,Poltergeist
Saurabh Shukla,Chhalaang
Sleepers,Robert De Niro
Sleepers,Kevin Bacon
Sleepers,Jason Patric
15 Minutes,Robert De Niro
15 Minutes,Edward Burns
Lorraine Bracco,Goodfellas
Dennis Christopher,Breaking Away
Sarita Choudhury,A Hologram for the King
Matt Dillon,Rumble Fish
Matt Dillon,My Bodyguard
Matt Dillon,Beautiful Girls
Matt Dillon,Nothing But the Truth
Matt Dillon,To Die For
Matt Dillon,Wild Things
Matt Dillon,Going in Style
Matt Dillon,Factotum
Matt Dillon,In & Out
Matt Dillon,Takers
Matt Dillon,Girl Most Likely
Matt Dillon,Armored
Matt Dillon,"You, Me and Dupree"
Leviathan,Aleksey Serebryakov
Leviathan,Elena Lyadova
Leviathan,Roman Madyanov
Leviathan,Vladimir Vdovichenkov
Leviathan,Amanda Pays
Leviathan,Daniel Stern
Drew Barrymore,Everybody's Fine
Drew Barrymore,Confessions of a Dangerous Mind
Drew Barrymore,Whip It
Drew Barrymore,Boys on the Side
Drew Barrymore,Fever Pitch
Drew Barrymore,Bad Girls
Joseph Sikora,The Intruder
RoboCop,Nancy Allen
RoboCop,Dan O'Herlihy
RoboCop,Ronny Cox
RoboCop,Joel Kinnaman
RoboCop,Gary Oldman
RoboCop,Michael Keaton
RoboCop,Abbie Cornish
Dax Shepard,Idiocracy
Dax Shepard,Zathura: A Space Adventure
Geronimo: An American Legend,Jason Patric
Geronimo: An American Legend,Gene Hackman
Geronimo: An American Legend,Robert Duvall
Geronimo: An American Legend,Wes Studi
Stuart Townsend,Head in the Clouds
Stuart Townsend,Trapped
Stuart Townsend,The League of Extraordinary Gentlemen
Stuart Townsend,Queen of the Damned
Captain Phillips,Tom Hanks
Captain Phillips,Barkhad Abdi
Captain Phillips,Barkhad Abdirahman
Captain Phillips,Catherine Keener
The Assassination of Richard Nixon,Sean Penn
The Assassination of Richard Nixon,Naomi Watts
The Assassination of Richard Nixon,Don Cheadle
The Assassination of Richard Nixon,Jack Thompson
Paul Bettany,Legion
Kiss of the Dragon,Jet Li
Kiss of the Dragon,Tchéky Karyo
Max Records,The Sitter
Twisted,Ashley Judd
Twisted,Samuel L. Jackson
Twisted,Andy Garcia
Twisted,David Strathairn
Kayli Carter,Let Him Go
Tideland,Jeff Bridges
Tideland,Jennifer Tilly
Tideland,Janet McTeer
Anne Heche,The Best of Enemies
Anne Heche,Wag the Dog
Anne Heche,I Know What You Did Last Summer
Anne Heche,The Vanished
Lily-Rose Depp,Wolf
Laura San Giacomo,"Sex, Lies, and Videotape"
Laura San Giacomo,Pretty Woman
The Post,Meryl Streep
The Post,Tom Hanks
Piranha 3D,Elisabeth Shue
Piranha 3D,Richard Dreyfuss
Piranha 3D,Ving Rhames
Jason Bateman,Juno
Jason Bateman,Air
Jason Bateman,Horrible Bosses 2
Jason Bateman,The Switch
Jason Bateman,Office Christmas Party
Gugu Mbatha-Raw,Motherless Brooklyn
Open Range,Kevin Costner
Open Range,Robert Duvall
Open Range,Diego Luna
The French Lieutenant's Woman,Meryl Streep
Stick It,Missy Peregrym
Stick It,Jeff Bridges
Stick It,Vanessa Lengies
Home Alone,Macaulay Culkin
Home Alone,Joe Pesci
Home Alone,Daniel Stern
Home Alone,John Heard
Nomadland,David Strathairn
Nomadland,Linda May
Nomadland,Gay DeForest
Christopher Lee,The Mummy
Cillian Murphy,Red Lights
Cillian Murphy,Peacock
Omid Djalili,Modigliani
Sally Hawkins,Blue Jasmine
The Counselor,Michael Fassbender
The Counselor,Penélope Cruz
The Counselor,Cameron Diaz
The Counselor,Javier Bardem
Jeff Goldblum,The Adventures of Buckaroo Banzai Across the 8th Dimension
Jeff Goldblum,The Switch
Jeff Goldblum,Holy Man
Thir13en Ghosts,Tony Shalhoub
Thir13en Ghosts,Shannon Elizabeth
Thir13en Ghosts,Embeth Davidtz
Jonathan Daniel Brown,Kid Cannabis
Miranda Otto,War of the Worlds
Miranda Otto,Flight of the Phoenix
John C. McGinley,Nothing to Lose
Sweet and Lowdown,Sean Penn
Sweet and Lowdown,Samantha Morton
Sweet and Lowdown,Woody Allen
Sweet and Lowdown,Ben Duncan
Robin Tunney,The Burning Plain
Robin Tunney,The Craft
Robin Tunney,Vertical Limit
Robert Duvall,The Godfather Part II
Robert Duvall,Secondhand Lions
Robert Duvall,The Road
Robert Duvall,Colors
Robert Duvall,Phenomenon
Robert Duvall,Days of Thunder
Robert Duvall,The Scarlet Letter
Cate Blanchett,The Curious Case of Benjamin Button
Cate Blanchett,Babel
Cate Blanchett,Blue Jasmine
Cate Blanchett,Don't Look Up
Cate Blanchett,Truth
Vithaya Pansringarm,A Prayer Before Dawn
Vithaya Pansringarm,Only God Forgives
Vithaya Pansringarm,Elephant White
Jon Lovitz,City Slickers II: The Legend of Curly's Gold
"Greystoke: The Legend of Tarzan, Lord of the Apes",Christopher Lambert
"Greystoke: The Legend of Tarzan, Lord of the Apes",Andie MacDowell
"Greystoke: The Legend of Tarzan, Lord of the Apes",Ralph Richardson
"Greystoke: The Legend of Tarzan, Lord of the Apes",Ian Holm
Dane Cook,Mr. Brooks
Dane Cook,My Best Friend's Girl
John Garfield,The Postman Always Rings Twice
The Vanished,Jason Patric
The Vanished,Alex Haydon
The Hitman's Bodyguard,Ryan Reynolds
The Hitman's Bodyguard,Samuel L. Jackson
The Hitman's Bodyguard,Gary Oldman
The Hitman's Bodyguard,Elodie Yung
Green Lantern,Ryan Reynolds
Green Lantern,Blake Lively
Green Lantern,Peter Sarsgaard
Green Lantern,Mark Strong
Breaking Away,Dennis Quaid
Breaking Away,Daniel Stern
Breaking Away,Jackie Earle Haley
Vera Farmiga,Nothing But the Truth
Vera Farmiga,Captive State
Vera Farmiga,Joshua
Jon Foster,Stay Alive
Jon Foster,The Informers
Magic in the Moonlight,Colin Firth
Magic in the Moonlight,Emma Stone
Magic in the Moonlight,Hamish Linklater
Into the Forest,Elliot Page
Into the Forest,Max Minghella
Into the Forest,Callum Keith Rennie
Bruce Altman,Matchstick Men
Stealing Beauty,Carlo Cecchi
Stealing Beauty,Sinéad Cusack
Diane Keaton,The Godfather Part II
Diane Keaton,Something's Gotta Give
Diane Keaton,Marvin's Room
Diane Keaton,Father of the Bride
Diane Keaton,Love the Coopers
Diane Keaton,The Big Wedding
John Heard,Big
John Heard,The Pelican Brief
John Heard,Snake Eyes
John Heard,C.H.U.D.
Snatch,Jason Statham
Snatch,Stephen Graham
Snatch,Vinnie Jones
Life of Crime,Jennifer Aniston
Life of Crime,Yasiin Bey
Life of Crime,Will Forte
The Borrowers,John Goodman
The Borrowers,Jim Broadbent
The Borrowers,Mark Williams
The Borrowers,Celia Imrie
Mafia!,Jay Mohr
Mafia!,Christina Applegate
Mafia!,Lloyd Bridges
Skyscraper,Dwayne Johnson
Skyscraper,Neve Campbell
Skyscraper,Chin Han
Skyscraper,Roland Møller
Catherine O'Hara,Home Alone 2: Lost in New York
Righteous Kill,Robert De Niro
Righteous Kill,Carla Gugino
Righteous Kill,50 Cent
Paul Newman,The Hudsucker Proxy
The Bridges of Madison County,Clint Eastwood
The Bridges of Madison County,Meryl Streep
The Bridges of Madison County,Annie Corley
The Bridges of Madison County,Victor Slezak
Michael Jeter,The Polar Express
Léon: The Professional,Jean Reno
Léon: The Professional,Gary Oldman
Léon: The Professional,Natalie Portman
Léon: The Professional,Danny Aiello
Christopher Meloni,Nights in Rodanthe
Scream 3,David Arquette
Scream 3,Neve Campbell
Scream 3,Courteney Cox
Scream 3,Liev Schreiber
Ali MacGraw,The Getaway
A Simple Plan,Bill Paxton
A Simple Plan,Brent Briscoe
Jessica Biel,Easy Virtue
Jessica Biel,Summer Catch
What a Girl Wants,Amanda Bynes
What a Girl Wants,Colin Firth
What a Girl Wants,Kelly Preston
What a Girl Wants,Soleil McGhee
Susan Kelechi Watson,A Beautiful Day in the Neighborhood
Out of Africa,Meryl Streep
Out of Africa,Robert Redford
Out of Africa,Michael Kitchen
Hays Wellford,Cop Car
Shelley Duvall,The Shining
Victor Frankenstein,Daniel Radcliffe
Victor Frankenstein,James McAvoy
Victor Frankenstein,Jessica Brown Findlay
Dennis Farina,Eddie
Moira Brooker,Frank
Fred Hechinger,The Woman in the Window
The League of Extraordinary Gentlemen,Sean Connery
The League of Extraordinary Gentlemen,Peta Wilson
The League of Extraordinary Gentlemen,Jason Flemyng
Woody Allen,Everyone Says I Love You
Lloyd Bridges,Blown Away
Lloyd Bridges,Joe Versus the Volcano
Michael Gambon,Mary Reilly
The Boss Baby,Alec Baldwin
The Boss Baby,Jimmy Kimmel
The Boss Baby,Lisa Kudrow
Hope Springs,Meryl Streep
Hope Springs,Tommy Lee Jones
Hope Springs,Jean Smart
Awakenings,Robert De Niro
Awakenings,Julie Kavner
Awakenings,Ruth Nelson
Interstate 60: Episodes of the Road,Gary Oldman
Interstate 60: Episodes of the Road,Matthew Edison
David Herman,Office Space
Jeffrey Wright,Asteroid City
Jeffrey Wright,A Single Shot
George MacKay,1917
George MacKay,Wolf
Daniel Brühl,Woman in Gold
John Goodman,The Big Lebowski
John Goodman,"Monsters, Inc."
John Goodman,The Artist
John Goodman,"O Brother, Where Art Thou?"
John Goodman,Argo
John Goodman,Barton Fink
John Goodman,The Emperor's New Groove
John Goodman,Inside Llewyn Davis
John Goodman,Patriots Day
John Goodman,10 Cloverfield Lane
John Goodman,Fallen
John Goodman,Matinee
John Goodman,Trouble with the Curve
John Goodman,Bringing Out the Dead
John Goodman,Sea of Love
John Goodman,Death Sentence
John Goodman,Beyond the Sea
John Goodman,Arachnophobia
John Goodman,The Big Easy
John Goodman,Always
John Goodman,In the Electric Mist
John Goodman,Captive State
John Goodman,The Gambler
John Goodman,We're Back! A Dinosaur's Story
John Goodman,The Babe
John Goodman,Love the Coopers
John Goodman,Coyote Ugly
John Goodman,The Jungle Book 2
John Goodman,The Flintstones
John Goodman,Blues Brothers 2000
Genius,Colin Firth
Genius,Jude Law
Genius,Nicole Kidman
Genius,Laura Linney
To Die For,Nicole Kidman
To Die For,Joaquin Phoenix
To Die For,Casey Affleck
Eiza González,I Care a Lot
Valeria Golino,Rain Man
Dennis Quaid,The Right Stuff
Dennis Quaid,Frequency
Dennis Quaid,A Dog's Journey
Dennis Quaid,Far from Heaven
Dennis Quaid,A Dog's Purpose
Dennis Quaid,The Express
Dennis Quaid,Soul Surfer
Dennis Quaid,The Rookie
Dennis Quaid,The Long Riders
Dennis Quaid,Innerspace
Dennis Quaid,Enemy Mine
Dennis Quaid,Truth
Dennis Quaid,Wyatt Earp
Dennis Quaid,Postcards from the Edge
Dennis Quaid,The Parent Trap
Dennis Quaid,Vantage Point
Dennis Quaid,Suspect
Dennis Quaid,The Day After Tomorrow
Dennis Quaid,The Big Easy
Dennis Quaid,Switchback
Dennis Quaid,Dreamscape
Dennis Quaid,Great Balls of Fire!
Dennis Quaid,Flight of the Phoenix
Dennis Quaid,D.O.A.
Dennis Quaid,Smart People
Dennis Quaid,The Alamo
Dennis Quaid,Footloose
Dennis Quaid,G.I. Joe: The Rise of Cobra
Dennis Quaid,What to Expect When You're Expecting
Dennis Quaid,The Intruder
Dennis Quaid,"Yours, Mine & Ours"
Dennis Quaid,Horsemen
Dennis Quaid,American Dreamz
Dennis Quaid,Legion
Dennis Quaid,Cold Creek Manor
Management,Jennifer Aniston
Briana Evigan,Mother's Day
Steve Valentine,A Christmas Carol
Nights in Rodanthe,Diane Lane
Nights in Rodanthe,Viola Davis
Mary McCormack,K-PAX
Nina Arianda,The Disappearance of Eleanor Rigby: Him
Nina Arianda,Rob the Mob
Elephant White,Kevin Bacon
Elephant White,Djimon Hounsou
Elephant White,Sahajak Boonthanakit
Christopher Lawford,Blankman
Maisie Williams,Then Came You
Shea Fowler,Bottle Rocket
Snake Eyes,Nicolas Cage
Snake Eyes,Carla Gugino
Snake Eyes,Henry Golding
Snake Eyes,Andrew Koji
Snake Eyes,Haruka Abe
Snake Eyes,Takehiro Hira
Gemma Ward,The Strangers
Dan Hedaya,The Addams Family
Brett Harrelson,The People vs. Larry Flynt
Sam Neill,The Hunt for Red October
Sam Neill,Bicentennial Man
Sam Neill,The Horse Whisperer
White Oleander,Michelle Pfeiffer
White Oleander,Renée Zellweger
White Oleander,Robin Wright
Office Christmas Party,Olivia Munn
Office Christmas Party,T.J. Miller
Office Christmas Party,Jennifer Aniston
Amrita Puri,Kai Po Che
The Sitter,Ari Graynor
The Sitter,Sam Rockwell
Danielle Macdonald,Dumplin'
Lisa Kudrow,Analyze This
Lisa Kudrow,Paper Man
Lisa Kudrow,Analyze That
Damon Wayans Jr.,Let's Be Cops
Gordon Brown,Only God Forgives
Concussion,Will Smith
Concussion,Alec Baldwin
Concussion,Albert Brooks
Concussion,David Morse
Falling in Love,Robert De Niro
Falling in Love,Meryl Streep
Falling in Love,Harvey Keitel
Falling in Love,Jane Kaczmarek
Red Notice,Dwayne Johnson
Red Notice,Ryan Reynolds
Red Notice,Gal Gadot
Red Notice,Ritu Arya
Confessions of a Dangerous Mind,Sam Rockwell
Confessions of a Dangerous Mind,George Clooney
Confessions of a Dangerous Mind,Julia Roberts
Alexander Godunov,The Money Pit
James Caan,Middle Men
I.Q.,Tim Robbins
I.Q.,Meg Ryan
I.Q.,Walter Matthau
I.Q.,Lou Jacobi
Josh Brolin,American Gangster
Josh Brolin,The Goonies
Josh Brolin,Sicario
Josh Brolin,Deadpool 2
Josh Brolin,True Grit
Josh Brolin,Milk
Josh Brolin,Sicario: Day of the Soldado
Josh Brolin,Planet Terror
Josh Brolin,Labor Day
Josh Brolin,Men in Black 3
Josh Brolin,Inherent Vice
Josh Brolin,Sin City: A Dame to Kill For
Josh Brolin,"Hail, Caesar!"
Josh Brolin,You Will Meet a Tall Dark Stranger
Josh Brolin,Wall Street: Money Never Sleeps
Josh Brolin,Oldboy
The Interpreter,Nicole Kidman
The Interpreter,Sean Penn
The Interpreter,Catherine Keener
The Interpreter,Jesper Christensen
Whip It,Elliot Page
Whip It,Sarah Habel
Edison Chen,The Grudge 2
Billy Barty,Masters of the Universe
Trance,James McAvoy
Trance,Rosario Dawson
Casualties of War,Michael J. Fox
Casualties of War,Sean Penn
Casualties of War,John C. Reilly
Beautiful Girls,Timothy Hutton
Beautiful Girls,Noah Emmerich
Beautiful Girls,Annabeth Gish
City Slickers,Billy Crystal
City Slickers,Jack Palance
City Slickers,Daniel Stern
City Slickers,Bruno Kirby
Rain Man,Dustin Hoffman
Rain Man,Tom Cruise
Rain Man,Gerald R. Molen
Iron Man,Jeff Bridges
Ziyi Zhang,Hero
Ziyi Zhang,Horsemen
Joel Gretsch,The Emperor's Club
Madison Iseman,Clouds
Agent Cody Banks,Andrew Francis
Agent Cody Banks,Angie Harmon
Matthew Goode,A Single Man
Matthew Goode,Self/less
Monica Bellucci,The Whistleblower
Elizabeth McGovern,Once Upon a Time in America
Elizabeth McGovern,Downton Abbey: A New Era
Elizabeth McGovern,Johnny Handsome
Elizabeth McGovern,The Handmaid's Tale
Elizabeth McGovern,She's Having a Baby
U-571,Matthew McConaughey
U-571,Bill Paxton
U-571,Harvey Keitel
U-571,Jon Bon Jovi
Don Stroud,The Amityville Horror
Kerry Washington,The Prom
Crisis,Gary Oldman
Crisis,Armie Hammer
Crisis,Evangeline Lilly
Malice,Alec Baldwin
Malice,Nicole Kidman
Malice,Bill Pullman
Malice,Bebe Neuwirth
The Big Wedding,Robert De Niro
The Big Wedding,Katherine Heigl
The Big Wedding,Amanda Seyfried
Red Riding Hood,Amanda Seyfried
Red Riding Hood,Lukas Haas
Red Riding Hood,Gary Oldman
The Two Jakes,Jack Nicholson
The Two Jakes,Harvey Keitel
The Two Jakes,Meg Tilly
The Two Jakes,Madeleine Stowe
Spy Game,Robert Redford
Spy Game,Catherine McCormack
Spy Game,Stephen Dillane
The Astronaut's Wife,Johnny Depp
The Astronaut's Wife,Joe Morton
The Astronaut's Wife,Clea DuVall
Let Them All Talk,Meryl Streep
Let Them All Talk,Gemma Chan
Let Them All Talk,Dianne Wiest
Operation Mincemeat,Colin Firth
Operation Mincemeat,Matthew Macfadyen
Operation Mincemeat,Kelly Macdonald
Operation Mincemeat,Rufus Wright
In the Electric Mist,Tommy Lee Jones
In the Electric Mist,Peter Sarsgaard
The Handmaid's Tale,Natasha Richardson
The Handmaid's Tale,Aidan Quinn
Jagged Edge,Jeff Bridges
Jagged Edge,Glenn Close
Jagged Edge,Peter Coyote
Jagged Edge,Robert Loggia
Susan Tyrrell,Fat City
Elizabeth Olsen,Red Lights
Elizabeth Olsen,Oldboy
David Oyelowo,Gringo
Ronin,Robert De Niro
Ronin,Jean Reno
Ronin,Natascha McElhone
X-Men: Days of Future Past,Patrick Stewart
X-Men: Days of Future Past,Hugh Jackman
X-Men: Days of Future Past,James McAvoy
Robert Carlyle,To End All Wars
Robert Carlyle,The World Is Not Enough
The Right Stuff,Sam Shepard
The Right Stuff,Scott Glenn
The Right Stuff,Ed Harris
Dean Norris,Secret in Their Eyes
John Michael Higgins,Shimmer Lake
Reindeer Games,Ben Affleck
Reindeer Games,James Frain
Young Adult,Patrick Wilson
Young Adult,Patton Oswalt
Young Adult,Elizabeth Reaser
Sally Field,Steel Magnolias
Sally Field,Lincoln
Sally Field,Eye for an Eye
Katie Jarvis,Fish Tank
Rubén Blades,Hands of Stone
Rubén Blades,The Devil's Own
Michelle Pfeiffer,I Am Sam
Michelle Pfeiffer,Sinbad: Legend of the Seven Seas
Michelle Pfeiffer,The Witches of Eastwick
Michelle Pfeiffer,The Family
Michelle Pfeiffer,Wolf
Michelle Pfeiffer,Married to the Mob
"Definitely, Maybe",Ryan Reynolds
"Definitely, Maybe",Rachel Weisz
"Definitely, Maybe",Abigail Breslin
"Definitely, Maybe",An Nguyen
Jacob Kogan,Joshua
Killshot,Diane Lane
Matt Craven,Jacob's Ladder
The Vanishing,Bernard-Pierre Donnadieu
The Vanishing,Gene Bervoets
The Vanishing,Gwen Eckhaus
The Vanishing,Jeff Bridges
The Vanishing,Kiefer Sutherland
The Vanishing,Nancy Travis
The Vanishing,Peter Mullan
The Vanishing,Emma King
The Vanishing,Gary Lewis
Born on the Fourth of July,Tom Cruise
Born on the Fourth of July,Bryan Larkin
Born on the Fourth of July,Raymond J. Barry
Born on the Fourth of July,Caroline Kava
Michael Beach,One False Move
Valkyrie,Tom Cruise
Valkyrie,Bill Nighy
Valkyrie,Carice van Houten
Valkyrie,Kenneth Branagh
Meg Ryan,Sleepless in Seattle
Meg Ryan,Innerspace
Meg Ryan,You've Got Mail
Meg Ryan,When a Man Loves a Woman
Meg Ryan,Addicted to Love
Meg Ryan,D.O.A.
Meg Ryan,Joe Versus the Volcano
Charles Fleischer,Who Framed Roger Rabbit
Charles Fleischer,We're Back! A Dinosaur's Story
The Amityville Horror,James Brolin
The Amityville Horror,Margot Kidder
The Amityville Horror,Ryan Reynolds
The Amityville Horror,Melissa George
The Hunger Games: Mockingjay - Part 2,Jennifer Lawrence
Brendan Fraser,The Mummy
Brendan Fraser,The Quiet American
Brendan Fraser,School Ties
Brendan Fraser,With Honors
Brendan Fraser,Extraordinary Measures
Brendan Fraser,Airheads
Brendan Fraser,Bedazzled
Brendan Fraser,Inkheart
Brendan Fraser,Journey to the Center of the Earth
Brendan Fraser,Encino Man
Brendan Fraser,Looney Tunes: Back in Action
Brendan Fraser,Escape from Planet Earth
Brendan Fraser,The Nut Job
Brendan Fraser,George of the Jungle
